MI_Precision, BL_Precision, MI_Recall, BL_Recall, MI_F1, BI_F1
8.911423209378022126e-01, 8.092487127427059335e-01, 3.239152475724503821e-01, 3.234289234594959761e-01, 4.751290687613549668e-01, 4.621516866015570879e-01
9.322663102878587793e-01, 8.542669078254381265e-01, 5.852758700621681909e-01, 5.753200818513320991e-01, 7.191009026945417437e-01, 6.875788754123152158e-01
9.278790651371848774e-01, 9.253817218031773484e-01, 4.474562471914225181e-01, 4.323931215521851779e-01, 6.037586334212735606e-01, 5.893888714700369347e-01
9.228501998206709578e-01, 8.743752687845873783e-01, 4.653389768584251796e-01, 4.717811302165446086e-01, 6.187026595402079776e-01, 6.128764129438137864e-01
9.131620318199662467e-01, 8.939200363185383358e-01, 3.277080081712208659e-01, 4.164915700646628083e-01, 4.823236937647901734e-01, 5.682339161603769950e-01
9.452583944131297544e-01, 8.859710512807678073e-01, 5.889626366119744549e-01, 6.840754469819615435e-01, 7.257388146754573111e-01, 7.720421574629703354e-01
