MI_FPs, BL_FPs, MI_FNs, BL_FNs, MI_Splits, BI_Splits, MI_Merges, BI_Merges
1.726663998948872458e-01, 7.494799032181939102e-01, 1.186005733137925677e+00, 1.247337710790602294e+00, 6.685431576859690583e-01, 1.492665621401308762e+00, 2.080994246329363473e-01, 5.142226886636142025e-01
2.299023756340509705e-01, 1.057015444024581585e+00, 1.020655894057288737e+00, 1.084997602948001960e+00, 1.388481910174336198e+00, 2.936651949176862786e+00, 5.920284201674904656e-01, 1.136124780868932982e+00
1.673115609743585364e-01, 3.866511833282778587e-01, 1.265632768976896028e+00, 1.269741591775715772e+00, 1.233624816919276501e+00, 1.960107036555874371e+00, 6.040801660049437416e-01, 9.203573570811283133e-01
2.388006716086403247e-01, 7.386259347746824133e-01, 1.032312181918148219e+00, 1.152367305739771641e+00, 1.006544804915326052e+00, 2.425714040286013784e+00, 3.623992524843244745e-01, 8.558692710022133276e-01
1.762098569489479183e-01, 4.294483724972678051e-01, 1.277289056837755066e+00, 1.262628479516572089e+00, 8.516877116602663556e-01, 1.997112409491588636e+00, 3.744509983217778060e-01, 7.819489232793784828e-01
2.334458326881116430e-01, 1.012163233978444099e+00, 1.111939217757118348e+00, 1.133970502181000262e+00, 1.571626464148633495e+00, 3.751230596191370559e+00, 7.583799938563319243e-01, 1.525870018310988563e+00
